TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612761,A.J. Lawson,1630639,TOR,SG,Combo,13,109,224,49,23,3,4,3,4,0.421,0.364,7,16,22,14,0.341,0.5,5,0.122,0.2,0.537,0.364,-1.3,19.2,1.2,23.7,0.22,7.1,16.6,3.8,1.8,2.7,8.2
1610612749,AJ Green,1631260,MIL,SG,Combo,55,1661,3458,568,141,112,29,5,46,0.488,0.422,15,126,391,13,0.03,0.615,30,0.069,0.433,0.901,0.422,7.2,13.2,1.6,17.9,0.088,1,8.4,9,0.9,0.3,9.3
1610612742,AJ Johnson,1642358,DAL,SG,Combo,33,298,632,101,41,31,8,0,22,0.382,0.225,8,33,39,42,0.362,0.452,34,0.293,0.294,0.345,0.225,-15.3,20.4,2.3,28.4,0.172,2.8,11.6,14.4,1.3,0,15
1610612743,Aaron Gordon,203932,DEN,PF,Big,23,642,1329,406,142,58,16,4,24,0.577,0.4,30,112,105,86,0.315,0.767,82,0.3,0.378,0.385,0.4,7.4,23.4,5.1,32.9,0.399,5.5,18.8,13.6,1.2,0.6,7
1610612745,Aaron Holiday,1628988,HOU,PG,Point,38,499,1030,219,34,37,16,4,24,0.474,0.395,6,28,114,13,0.076,0.462,44,0.257,0.477,0.667,0.395,2.9,17.7,2.8,25.1,0.205,1.3,6.1,10.1,1.6,0.7,11.4
1610612754,Aaron Nesmith,1630174,IND,SF,Wing,33,991,2131,437,154,69,21,18,46,0.41,0.367,42,112,207,71,0.19,0.479,95,0.255,0.358,0.555,0.367,-2.8,19.5,2.3,25.6,0.239,4.4,12.6,10.1,1,1.6,10
1610612760,Aaron Wiggins,1630598,OKC,SG,Wing,47,1098,2327,483,156,86,46,24,65,0.49,0.369,29,127,217,115,0.273,0.557,89,0.211,0.404,0.515,0.369,-1.7,20.1,2.8,26.7,0.138,3,12,10.8,2,2.1,12.7
1610612762,Ace Bailey,1642846,UTA,SF,Forward,53,1410,3060,633,215,90,43,28,69,0.519,0.333,88,127,240,132,0.228,0.652,207,0.358,0.435,0.415,0.333,-3.4,19.6,2.1,25.7,0.097,6.7,10,9.3,1.4,1.9,10.3
1610612755,Adem Bona,1641737,PHI,C,Big,51,842,1781,224,210,17,19,65,38,0.612,0.4,91,119,5,117,0.842,0.65,17,0.122,0.353,0.036,0.4,8.7,10.6,0.3,12.8,0.568,11.7,15.8,2.7,1.1,7.2,17.9
1610612747,Adou Thiero,1642876,LAL,SF,Forward,18,102,215,28,19,6,5,2,4,0.5,0,7,12,1,14,0.667,0.571,6,0.286,0.333,0.048,0,-0.7,12.6,0.8,16.3,0.476,8.3,13.4,7.6,2.4,1.8,13.6
1610612760,Ajay Mitchell,1642349,OKC,SG,Wing,43,1129,2435,606,149,157,61,14,68,0.545,0.35,29,120,137,129,0.283,0.674,190,0.417,0.458,0.3,0.35,3.2,22.3,5.5,32.6,0.287,2.9,11.1,20.1,2.6,1.2,11.7
1610612744,Al Horford,201143,GSW,C,Big,38,805,1712,303,188,95,29,42,37,0.565,0.359,36,152,167,35,0.135,0.629,57,0.22,0.526,0.645,0.359,0.9,16,3.2,24.2,0.081,4.9,20.9,16.5,1.7,4.8,12.2
1610612760,Alex Caruso,1627936,OKC,SG,Wing,41,760,1635,266,107,84,55,14,36,0.611,0.314,20,87,137,57,0.251,0.737,33,0.145,0.394,0.604,0.314,-0.8,15.8,2.6,22.7,0.15,3,11.9,14.5,3.5,1.8,13
1610612764,Alex Sarr,1642259,WAS,C,Big,41,1156,2481,704,319,115,34,82,70,0.537,0.336,96,223,119,210,0.365,0.719,246,0.428,0.382,0.207,0.336,-0.4,25.5,4.7,35.2,0.237,8.7,20.6,16.2,1.4,6.3,9.9
1610612761,Alijah Martin,1642918,TOR,SG,Combo,13,97,192,34,14,8,6,3,3,0.45,0.167,6,8,12,9,0.281,0.556,11,0.344,0.364,0.375,0.167,-10.2,17.7,1.8,25.4,0.375,6.8,9.3,10.8,3,3,7.4
