TEAM_NAME,NEXT_GAMES
Atlanta Hawks,"@ MIL, vs PHI, vs DAL, vs BKN, vs MIL"
Boston Celtics,"vs CHA, vs DAL, @ CLE, @ SAS, @ OKC"
Brooklyn Nets,"@ MIA, @ DET, vs MEM, vs DET, @ ATL"
Charlotte Hornets,"@ BOS, vs MIA, @ PHX, @ POR, @ SAC"
Chicago Bulls,"@ PHX, @ SAC, @ GSW, @ LAL, @ LAC"
Cleveland Cavaliers,"vs BOS, vs PHI, @ ORL, @ DAL, vs DAL"
Dallas Mavericks,"@ ORL, @ BOS, @ TOR, @ ATL, @ MEM"
Denver Nuggets,"vs LAL, vs NYK, @ OKC, vs HOU, @ SAS"
Detroit Pistons,"@ SAS, vs BKN, @ MIA, @ BKN, vs PHI"
Golden State Warriors,"@ HOU, @ OKC, @ UTA, vs CHI, vs MIN"
Houston Rockets,"vs GSW, vs POR, @ SAS, vs TOR, @ DEN"
Indiana Pacers,"@ LAC, @ LAL, @ POR, @ SAC, vs PHX"
LA Clippers,"vs IND, @ SAS, @ MEM, vs NYK, vs MIN"
Los Angeles Lakers,"vs NOP, @ DEN, vs IND, vs NYK, vs MIN"
Memphis Grizzlies,"vs POR, vs LAC, @ BKN, @ PHI, vs DAL"
Miami Heat,"vs BKN, @ CHA, vs DET, vs WAS, vs MIL"
Milwaukee Bucks,"vs ATL, vs UTA, vs ORL, vs PHX, @ MIA"
Minnesota Timberwolves,"vs TOR, vs ORL, @ LAL, @ LAC, @ GSW"
NA NA,"@ NA, @ NA, @ NA, @ NA, @ NA"
New Orleans Pelicans,"@ LAL, @ SAC, @ PHX, vs WAS, vs TOR"
New York Knicks,"vs OKC, @ DEN, @ LAL, @ LAC, @ UTA"
Oklahoma City Thunder,"@ NYK, vs GSW, vs DEN, vs BOS, vs MIN"
Orlando Magic,"vs DAL, @ MIN, @ MIL, vs CLE, vs WAS"
Philadelphia 76ers,"vs UTA, @ ATL, @ CLE, vs MEM, @ DET"
Phoenix Suns,"@ SAC, vs CHI, vs NOP, vs CHA, @ MIL"
Portland Trail Blazers,"@ MEM, @ HOU, vs IND, vs CHA, vs UTA"
Sacramento Kings,"vs PHX, vs NOP, vs CHI, vs IND, vs CHA"
San Antonio Spurs,"vs DET, vs LAC, vs HOU, vs BOS, vs DEN"
Toronto Raptors,"@ MIN, vs DAL, @ HOU, @ NOP, vs PHX"
Utah Jazz,"@ PHI, @ WAS, @ MIL, vs GSW, vs NYK"
Washington Wizards,"vs UTA, @ NOP, @ MIA, @ ORL, @ BOS"
