RANK,TEAM_ID,TEAM_NAME,CONFERENCE,W,L,WIN_PCT,L10,SOS,STREAK,AT_HOME,ON_THE_ROAD,VS_500_AND_ABOVE,VS_BELOW_500,VS_EAST,VS_WEST,PRE_AS,POST_AS,OCT,NOV,DEC,JAN,FEB,MAR,APR
1.,1610612760,Oklahoma City Thunder,West,44,14,0.759,6-4,-0.65,W2,24-6,20-7,17-12,20-7,12-5,32-9,44-14,NA,6-0,14-1,9-4,9-6,6-3,NA,NA
1.,1610612765,Detroit Pistons,East,42,13,0.764,8-2,-1.02,W5,21-6,20-7,17-15,20-6,28-7,14-6,42-13,NA,3-2,13-2,9-4,10-4,7-1,NA,NA
2.,1610612738,Boston Celtics,East,37,19,0.661,8-2,-0.87,W3,18-9,19-10,13-17,18-9,24-13,13-6,37-19,NA,3-3,8-6,9-3,10-6,7-1,NA,NA
2.,1610612759,San Antonio Spurs,West,40,16,0.714,9-1,-0.05,W8,21-6,18-10,12-17,18-9,14-3,26-13,40-16,NA,5-0,8-6,11-3,8-7,8-0,NA,NA
3.,1610612743,Denver Nuggets,West,36,22,0.621,4-6,-0.87,L1,15-11,21-11,11-20,16-11,15-11,21-11,36-22,NA,3-2,11-3,9-5,10-6,3-6,NA,NA
3.,1610612752,New York Knicks,East,37,21,0.638,7-3,-0.38,W2,22-8,14-13,12-20,12-14,25-14,12-7,37-21,NA,2-3,11-3,10-4,7-8,7-3,NA,NA
4.,1610612739,Cleveland Cavaliers,East,36,22,0.621,8-2,-0.31,L1,19-11,17-11,3-25,13-15,22-13,14-9,36-22,NA,3-3,9-6,7-7,10-5,7-1,NA,NA
4.,1610612745,Houston Rockets,West,34,21,0.618,6-4,-0.11,L1,18-7,16-14,5-28,10-15,15-5,19-16,34-21,NA,2-2,11-2,7-6,10-7,4-4,NA,NA
5.,1610612747,Los Angeles Lakers,West,34,22,0.607,6-4,-0.26,L1,16-11,18-11,19-11,21-5,11-8,23-14,34-22,NA,4-2,11-2,5-7,9-7,5-4,NA,NA
5.,1610612761,Toronto Raptors,East,34,23,0.596,6-4,-0.37,W2,16-13,18-10,15-10,19-11,26-15,8-8,34-23,NA,2-4,12-3,6-8,9-6,5-2,NA,NA
6.,1610612750,Minnesota Timberwolves,West,35,23,0.603,6-4,-0.76,L1,20-11,15-12,14-18,19-7,15-6,20-17,35-23,NA,2-3,10-5,9-5,10-6,4-4,NA,NA
6.,1610612755,Philadelphia 76ers,East,31,26,0.544,5-5,-0.24,W1,15-15,16-11,15-23,13-7,19-19,12-7,31-26,NA,4-1,6-8,7-5,10-7,4-5,NA,NA
7.,1610612753,Orlando Magic,East,30,26,0.536,6-4,0.14,W1,17-9,12-15,5-25,16-9,19-18,11-8,30-26,NA,2-4,10-4,7-7,6-7,5-4,NA,NA
7.,1610612756,Phoenix Suns,West,33,25,0.569,4-6,0.39,L1,19-11,14-14,9-23,11-13,11-7,22-18,33-25,NA,2-4,10-5,7-5,11-5,3-6,NA,NA
8.,1610612748,Miami Heat,East,31,27,0.534,6-4,0.13,W3,17-11,14-16,8-29,4-17,16-16,15-11,31-27,NA,3-2,10-5,5-8,8-9,5-3,NA,NA
8.,1610612744,Golden State Warriors,West,30,27,0.526,4-6,0.29,W1,19-11,11-16,18-6,24-7,10-11,20-16,30-27,NA,4-2,7-8,7-6,9-7,3-4,NA,NA
9.,1610612737,Atlanta Hawks,East,28,31,0.475,4-6,0.54,W1,11-16,17-15,14-16,22-6,15-21,13-10,28-31,NA,3-3,10-5,3-11,8-8,4-4,NA,NA
9.,1610612757,Portland Trail Blazers,West,28,30,0.483,5-5,0.98,W1,16-14,12-16,11-16,23-7,6-13,22-17,28-30,NA,4-2,4-10,6-8,9-6,5-4,NA,NA
10.,1610612766,Charlotte Hornets,East,27,31,0.466,7-3,-0.2,W1,12-16,15-15,10-20,21-7,17-21,10-10,27-31,NA,2-3,4-11,5-8,11-6,5-3,NA,NA
10.,1610612746,LA Clippers,West,27,30,0.474,5-5,0.31,L2,14-12,13-18,15-20,13-11,10-13,17-17,27-30,NA,3-2,2-13,6-6,11-4,5-5,NA,NA
11.,1610612763,Memphis Grizzlies,West,21,34,0.382,3-7,-0.01,L1,11-15,9-18,8-23,16-8,4-13,17-21,21-34,NA,3-3,6-9,6-6,3-11,3-5,NA,NA
11.,1610612749,Milwaukee Bucks,East,24,31,0.436,6-4,-0.17,L1,12-13,12-18,5-27,10-14,17-19,7-12,24-31,NA,4-1,5-11,5-8,4-8,6-3,NA,NA
